drug_1,drug_2,pt,final_outcome,case_count,support,confidence,lift
LAMOTRIGINE,TOPIRAMATE,Insomnia,Moderate,5,0.0008,0.04,14.68
IBUPROFEN,GABAPENTIN,Drug ineffective for unapproved indication,Moderate,8,0.0013,0.13,14.52
CYCLOSPORINE,PREDNISOLONE,Colitis ulcerative,Moderate,6,0.001,0.04,14.29
LACOSAMIDE,LEVETIRACETAM,Arrhythmia,Moderate,6,0.001,0.02,13.76
CLOBAZAM,LEVETIRACETAM,Delirium,Moderate,5,0.0008,0.03,13.49
PREDNISOLONE,AZATHIOPRINE,Colitis ulcerative,Moderate,6,0.001,0.03,12.97
GABAPENTIN,CEFTRIAXONE,Pulmonary embolism,Serious,5,0.0008,0.05,12.81
DIAZEPAM,RISPERIDONE,Vomiting,Moderate,9,0.0015,0.07,12.55
LEVETIRACETAM,PHENOBARBITAL,Treatment failure,Moderate,5,0.0008,0.08,12.46
CLOBAZAM,LEVETIRACETAM,Gait disturbance,Moderate,5,0.0008,0.03,11.69
LAMOTRIGINE,CLOBAZAM,Maternal exposure during pregnancy,Moderate,8,0.0013,0.09,11.54
NAPROXEN,TOPIRAMATE,Rash,Moderate,6,0.001,0.05,11.21
CLOBAZAM,PHENOBARBITAL,Seizure,Moderate,5,0.0008,0.07,11.05
DIAZEPAM,RISPERIDONE,Nausea,Moderate,11,0.0018,0.08,10.8
DIAZEPAM,RISPERIDONE,Suicide attempt,Moderate,8,0.0013,0.06,10.8
MYCOPHENOLATE MOFETIL,PREDNISOLONE,Delayed graft function,Moderate,5,0.0008,0.01,10.78
DIAZEPAM,RISPERIDONE,Pneumonia,Moderate,7,0.0012,0.05,10.43
IBUPROFEN,GABAPENTIN,Therapy non-responder,Moderate,8,0.0013,0.13,10.26
LAMOTRIGINE,CLOBAZAM,Seizure,Moderate,6,0.001,0.06,10.02
LAMOTRIGINE,LEVETIRACETAM,Premature baby,Moderate,6,0.001,0.03,9.78
LAMOTRIGINE,LEVETIRACETAM,Foetal exposure during pregnancy,Moderate,11,0.0018,0.06,9.43
LACOSAMIDE,LEVETIRACETAM,Oxygen saturation decreased,Moderate,5,0.0008,0.02,9.38
