Drug1,Drug2,PT,case_count,support,confidence,lift
ACYCLOVIR,PREDNISOLONE,Hypothyroidism,2,0.00033534540576794097,0.125,93.1875
LAMOTRIGINE,MELATONIN,Death,10,0.001676727028839705,0.29411764705882354,92.3219814241486
VALPROIC ACID,BACLOFEN,Neuroleptic malignant syndrome,2,0.00033534540576794097,0.19999999999999998,91.75384615384614
RISPERIDONE,PREGABALIN,Product prescribing error,4,0.0006706908115358819,0.15384615384615383,91.75384615384614
LAMOTRIGINE,ZONISAMIDE,Maternal death,4,0.0006706908115358819,0.13793103448275862,91.40229885057472
GABAPENTIN,PROPRANOLOL,Encephalopathy,3,0.0005030181086519115,0.2142857142857143,91.28571428571429
RISPERIDONE,RIVASTIGMINE,Parkinsonism,5,0.0008383635144198525,0.33333333333333337,90.36363636363637
VALPROIC ACID,GABAPENTIN,Oxygen saturation decreased,4,0.0006706908115358819,0.16666666666666666,90.36363636363636
IBUPROFEN,CARBAMAZEPINE,Hepatic enzyme increased,2,0.00033534540576794097,0.16666666666666666,90.36363636363636
METHYLPHENIDATE,PREGABALIN,Drug abuse,2,0.00033534540576794097,0.2857142857142857,89.68421052631578
ZOLPIDEM,PRAMIPEXOLE,Underdose,2,0.00033534540576794097,0.10526315789473684,89.68421052631578
ZOLPIDEM,PREGABALIN,Anxiety,2,0.00033534540576794097,0.25,87.70588235294117
IBUPROFEN,DULOXETINE,Anxiety,2,0.00033534540576794097,0.25,87.70588235294117
CANDESARTAN,TOPIRAMATE,Dysarthria,2,0.00033534540576794097,0.11764705882352941,87.70588235294117
LAMOTRIGINE,ZOPICLONE,Cerebrovascular accident,8,0.0013413816230717639,0.20512820512820512,87.38461538461537
GABAPENTIN,ZOPICLONE,Toxic skin eruption,3,0.0005030181086519115,0.1,85.2
ZOPICLONE,BACLOFEN,Suicidal ideation,9,0.0015090543259557343,0.3913043478260869,83.34782608695652
TRIHEXYPHENIDYL,RISPERIDONE,Platelet count decreased,2,0.00033534540576794097,0.11111111111111112,82.83333333333334
NAPROXEN,LAMOTRIGINE,Blepharospasm,3,0.0005030181086519115,0.15,81.32727272727273
OXCARBAZEPINE,PREGABALIN,Parkinsonism,8,0.0013413816230717639,0.2962962962962963,80.32323232323232
IBUPROFEN,GABAPENTIN,Inspiratory capacity decreased,10,0.001676727028839705,0.16129032258064516,80.16129032258064
VANCOMYCIN,PHENOBARBITAL,Therapy non-responder,3,0.0005030181086519115,1.0,79.52
ACYCLOVIR,PHENOBARBITAL,Therapy non-responder,3,0.0005030181086519115,1.0,79.52
TETRABENAZINE,PROPRANOLOL,Therapy non-responder,2,0.00033534540576794097,1.0,79.52
TETRABENAZINE,DIAZEPAM,Therapy non-responder,2,0.00033534540576794097,1.0,79.52
CANDESARTAN,PRAMIPEXOLE,Hypotension,2,0.00033534540576794097,0.19999999999999998,79.52
CARBAMAZEPINE,PHENOBARBITAL,Balance disorder,2,0.00033534540576794097,0.10526315789473684,78.47368421052632
MELATONIN,PHENOBARBITAL,Respiratory depression,4,0.0006706908115358819,0.10526315789473684,78.47368421052632
CLOBAZAM,MELATONIN,Respiratory depression,4,0.0006706908115358819,0.10526315789473684,78.47368421052632
GABAPENTIN,VANCOMYCIN,Hypokalaemia,2,0.00033534540576794097,0.22222222222222224,77.9607843137255
